slug,name,asin,affiliateUrl,status
"fanttik-x8-apex-portable-tire","Fanttik X8 APEX Portable Tire Inflator (150 PSI Cordless)",B09YD2D96V,"https://www.amazon.com/dp/B09YD2D96V?tag=blackboxsuppl-20",affiliate-live
"jackery-explorer-1000-v2-portable","Jackery Explorer 1000 v2 Portable Power Station",B0D7PPG25F,"https://www.amazon.com/dp/B0D7PPG25F?tag=blackboxsuppl-20",affiliate-live
"noco-boost-gb40-1000a-ultrasafe","NOCO Boost GB40 1000A UltraSafe Lithium Jump Starter",B015TKUPIC,"https://www.amazon.com/dp/B015TKUPIC?tag=blackboxsuppl-20",affiliate-live
"lifeline-4388aaa-excursion-road-76","Lifeline 4388AAA Excursion Road 76-Piece Roadside Assistance Kit",B00N509LP2,"https://www.amazon.com/dp/B00N509LP2?tag=blackboxsuppl-20",affiliate-live
"viofo-a229-plus","VIOFO A229 Plus (2CH Front + Rear)",B0CKX14L34,"https://www.amazon.com/dp/B0CKX14L34?tag=blackboxsuppl-20",affiliate-live
"resqme-the-original-car-escape","resqme The Original Car Escape Tool — Seatbelt Cutter + Window Breaker",B01G6C18EC,"https://www.amazon.com/dp/B01G6C18EC?tag=blackboxsuppl-20",affiliate-live
"noco-genius5-smart-battery-charger","NOCO GENIUS5 Smart Battery Charger & Maintainer (5A, 6V/12V)",B07W8KJH44,"https://www.amazon.com/dp/B07W8KJH44?tag=blackboxsuppl-20",affiliate-live
"bluetti-ac180-portable-power-station","BLUETTI AC180 Portable Power Station",B0C1SMJTDT,"https://www.amazon.com/dp/B0C1SMJTDT?tag=blackboxsuppl-20",affiliate-live
"energizer-1-gauge-800a-heavy","Energizer 1-Gauge 800A Heavy Duty Jumper Cables, 25 ft",B017O8JZP6,"https://www.amazon.com/dp/B017O8JZP6?tag=blackboxsuppl-20",affiliate-live
"viofo-a119-mini-2","VIOFO A119 Mini 2",B0C5MVB7NX,"https://www.amazon.com/dp/B0C5MVB7NX?tag=blackboxsuppl-20",affiliate-live
"baseus-160w-usb-c-car","Baseus 160W USB-C Car Charger (3-Port, QC5.0/PD3.0/PPS)",B09HTTSJLV,"https://www.amazon.com/dp/B09HTTSJLV?tag=blackboxsuppl-20",affiliate-live
"noco-boost-hd-gb70-2000a","NOCO Boost HD GB70 2000A UltraSafe Lithium Jump Starter",B016UG6PWE,"https://www.amazon.com/dp/B016UG6PWE?tag=blackboxsuppl-20",affiliate-live
"ecoflow-river-2-pro-portable","EcoFlow RIVER 2 Pro Portable Power Station",B0BVLPGS79,"https://www.amazon.com/dp/B0BVLPGS79?tag=blackboxsuppl-20",affiliate-live
"drive-car-trunk-organizer","DRIVE Car Trunk Organizer (Collapsible, Multi-Compartment)",B071F82CYJ,"https://www.amazon.com/dp/B071F82CYJ?tag=blackboxsuppl-20",affiliate-live
"viofo-a139-pro","VIOFO A139 Pro (3CH Front + Interior + Rear)",B0BV2FRBCS,"https://www.amazon.com/dp/B0BV2FRBCS?tag=blackboxsuppl-20",affiliate-live
